catalog_type,item_id,asset_variant,image_url
bugs,ecc982109cb3d30f,tank,https://dodo.ac/np/images/d/dc/Goliath_Beetle_NH_Furniture_Icon.png
bugs,f178eb91f28348b7,tank,https://dodo.ac/np/images/4/46/Dung_Beetle_NH_Furniture_Icon.png
bugs,f7a7573d7b3a8765,tank,https://dodo.ac/np/images/4/4f/Mosquito_NH_Furniture_Icon.png
bugs,fa0b44e28614fcbf,tank,https://dodo.ac/np/images/d/d2/Long_Locust_NH_Furniture_Icon.png
bugs,fc59681aa8a9f0fd,tank,https://dodo.ac/np/images/1/18/Monarch_Butterfly_NH_Furniture_Icon.png
bugs,fd011c47930c2a24,tank,https://dodo.ac/np/images/7/7d/Grasshopper_NH_Furniture_Icon.png
bugs,fd0e6eb894df8b2f,tank,https://dodo.ac/np/images/6/67/Darner_Dragonfly_NH_Furniture_Icon.png
bugs,fda54db72d25a2ce,tank,https://dodo.ac/np/images/7/7d/Brown_Cicada_NH_Furniture_Icon.png
bugs,fe3f770becd1b58a,tank,https://dodo.ac/np/images/0/01/Horned_Elephant_NH_Furniture_Icon.png
bugs,fe95f7034354bb79,tank,https://dodo.ac/np/images/7/74/Spider_NH_Furniture_Icon.png
fish,008d1b0976c7b974,tank,https://dodo.ac/np/images/7/78/King_Salmon_NH_Furniture_Icon.png
fish,057034990a13c2bf,tank,https://dodo.ac/np/images/0/0b/Football_Fish_NH_Furniture_Icon.png
fish,0993a16ef174f33d,tank,https://dodo.ac/np/images/e/e6/Soft-Shelled_Turtle_NH_Furniture_Icon.png
fish,0b8f54a1bea9ddce,tank,https://dodo.ac/np/images/9/96/Suckerfish_NH_Furniture_Icon.png
fish,0dcd4c5f8e4578fe,tank,https://dodo.ac/np/images/8/88/Squid_NH_Furniture_Icon.png
fish,0eb2518f5a5c98d2,tank,https://dodo.ac/np/images/9/9e/Giant_Snakehead_NH_Furniture_Icon.png
fish,123eee224a8b4eab,tank,https://dodo.ac/np/images/c/cd/Whale_Shark_NH_Furniture_Icon.png
